rank	language_script	language	language_name	script	region	new_length	original_length	source_dataset_dir	selection_rule	selection_note	status
138	bpy_Beng	bpy	Bishnupriya	Beng		162838	196750	/disk3/moon/Glot500/data/raw/bpy_Beng	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
139	tgk_Arab	tgk	Tajik	Arab		163321	210386	/disk3/moon/Glot500/data/raw/tgk_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
140	xmf_Geor	xmf	Mingrelian	Geor		174994	251898	/disk3/moon/Glot500/data/raw/xmf_Geor	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
141	tuk_Cyrl	tuk	Turkmen	Cyrl		175769	203105	/disk3/moon/Glot500/data/raw/tuk_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
142	kab_Latn	kab	Kabyle	Latn		176015	586650	/disk3/moon/Glot500/data/raw/kab_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
143	nyu_Latn	nyu	Nyungwe	Latn		177483	208350	/disk3/moon/Glot500/data/raw/nyu_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
144	ngl_Latn	ngl	Lomwe	Latn		178498	214681	/disk3/moon/Glot500/data/raw/ngl_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
145	yao_Latn	yao	Yao	Latn		179965	212620	/disk3/moon/Glot500/data/raw/yao_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
146	new_Deva	new	Newari	Deva		181427	293497	/disk3/moon/Glot500/data/raw/new_Deva	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
147	quc_Latn	quc	K'iche'	Latn		181559	202400	/disk3/moon/Glot500/data/raw/quc_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
148	afb_Arab	afb	Gulf Arabic	Arab		183694	308761	/disk3/moon/Glot500/data/raw/afb_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
149	dyu_Latn	dyu	Dyula	Latn		186367	203444	/disk3/moon/Glot500/data/raw/dyu_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
150	pcm_Latn	pcm	Nigerian Pidgin	Latn		187594	191195	/disk3/moon/Glot500/data/raw/pcm_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
151	toj_Latn	toj	Tojolabal	Latn		189651	215825	/disk3/moon/Glot500/data/raw/toj_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
152	pau_Latn	pau	Palauan	Latn		190529	208953	/disk3/moon/Glot500/data/raw/pau_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
153	ncj_Latn	ncj	Northern Puebla Nahuatl	Latn		192962	229138	/disk3/moon/Glot500/data/raw/ncj_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
154	nch_Latn	nch	Central Huasteca Nahuatl	Latn		193129	228924	/disk3/moon/Glot500/data/raw/nch_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
155	ina_Latn	ina	Interlingua (International Auxiliary Language Association)	Latn		197315	240071	/disk3/moon/Glot500/data/raw/ina_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
156	tyv_Cyrl	tyv	Tuvinian	Cyrl		198649	239737	/disk3/moon/Glot500/data/raw/tyv_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
157	scn_Latn	scn	Sicilian	Latn		199068	269819	/disk3/moon/Glot500/data/raw/scn_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
158	mau_Latn	mau	Huautla Mazatec	Latn		199134	228862	/disk3/moon/Glot500/data/raw/mau_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
159	ctu_Latn	ctu	Chol	Latn		201662	219743	/disk3/moon/Glot500/data/raw/ctu_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
160	kbp_Latn	kbp	Kabiyè	Latn		202877	227749	/disk3/moon/Glot500/data/raw/kbp_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
161	cak_Latn	cak	Kaqchikel	Latn		204472	215280	/disk3/moon/Glot500/data/raw/cak_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
162	qvi_Latn	qvi	Imbabura Highland Quichua	Latn		205447	249831	/disk3/moon/Glot500/data/raw/qvi_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
163	kac_Latn	kac	Kachin	Latn		205542	217915	/disk3/moon/Glot500/data/raw/kac_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
164	kek_Latn	kek	Kekchí	Latn		209932	232132	/disk3/moon/Glot500/data/raw/kek_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
165	iba_Latn	iba	Iban	Latn		213615	246848	/disk3/moon/Glot500/data/raw/iba_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
166	ada_Latn	ada	Adangme	Latn		219427	240285	/disk3/moon/Glot500/data/raw/ada_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
167	plt_Latn	plt	Plateau Malagasy	Latn		220413	224240	/disk3/moon/Glot500/data/raw/plt_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
168	wuu_Hani	wuu	Wu Chinese	Hani		224088	248125	/disk3/moon/Glot500/data/raw/wuu_Hani	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
169	pms_Latn	pms	Piemontese	Latn		227748	299825	/disk3/moon/Glot500/data/raw/pms_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
170	bew_Cyrl	bew	Betawi	Cyrl		228180	293966	/disk3/moon/Glot500/data/raw/bew_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
171	mco_Latn	mco	Coatlán Mixe	Latn		231209	269371	/disk3/moon/Glot500/data/raw/mco_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
172	top_Latn	top	Papantla Totonac	Latn		239232	287175	/disk3/moon/Glot500/data/raw/top_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
173	cab_Latn	cab	Garifuna	Latn		240101	275332	/disk3/moon/Glot500/data/raw/cab_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
174	mam_Latn	mam	Mam	Latn		248348	274522	/disk3/moon/Glot500/data/raw/mam_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
175	guc_Latn	guc	Wayuu	Latn		249044	285717	/disk3/moon/Glot500/data/raw/guc_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
176	kmr_Latn	kmr	Northern Kurdish	Latn		256677	299381	/disk3/moon/Glot500/data/raw/kmr_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
177	nbl_Latn	nbl	South Ndebele	Latn		259158	326411	/disk3/moon/Glot500/data/raw/nbl_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
178	ber_Latn	ber		Latn		264426	605282	/disk3/moon/Glot500/data/raw/ber_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
179	fon_Latn	fon	Fon	Latn		268566	320451	/disk3/moon/Glot500/data/raw/fon_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
180	nde_Latn	nde	North Ndebele	Latn		269931	331795	/disk3/moon/Glot500/data/raw/nde_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
181	bod_Tibt	bod	Tibetan	Tibt		273489	293051	/disk3/moon/Glot500/data/raw/bod_Tibt	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
182	gym_Latn	gym	Ngäbere	Latn		274512	305522	/disk3/moon/Glot500/data/raw/gym_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
183	zai_Latn	zai	Isthmus Zapotec	Latn		277632	311459	/disk3/moon/Glot500/data/raw/zai_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
184	kmb_Latn	kmb	Kimbundu	Latn		296269	334210	/disk3/moon/Glot500/data/raw/kmb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
185	seh_Latn	seh	Sena	Latn		300243	359422	/disk3/moon/Glot500/data/raw/seh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
186	pam_Latn	pam	Pampanga	Latn		303737	362445	/disk3/moon/Glot500/data/raw/pam_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
187	wal_Latn	wal	Wolaytta	Latn		309873	367862	/disk3/moon/Glot500/data/raw/wal_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
188	vol_Latn	vol	Volapük	Latn		310399	422156	/disk3/moon/Glot500/data/raw/vol_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
189	kam_Latn	kam	Kamba (Kenya)	Latn		310659	352357	/disk3/moon/Glot500/data/raw/kam_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
190	quy_Latn	quy	Ayacucho Quechua	Latn		311040	406127	/disk3/moon/Glot500/data/raw/quy_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
191	abk_Cyrl	abk	Abkhazian	Cyrl		321578	520151	/disk3/moon/Glot500/data/raw/abk_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
192	ido_Latn	ido	Ido	Latn		331239	432472	/disk3/moon/Glot500/data/raw/ido_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
193	lmo_Latn	lmo	Lombard	Latn		348135	450101	/disk3/moon/Glot500/data/raw/lmo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
194	tsn_Latn	tsn	Tswana	Latn		350954	554127	/disk3/moon/Glot500/data/raw/tsn_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
195	sah_Cyrl	sah	Yakut	Cyrl		352697	466063	/disk3/moon/Glot500/data/raw/sah_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
196	quz_Latn	quz	Cusco Quechua	Latn		354781	464531	/disk3/moon/Glot500/data/raw/quz_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
197	ssw_Latn	ssw	Swati	Latn		356561	450673	/disk3/moon/Glot500/data/raw/ssw_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
198	yap_Latn	yap	Yapese	Latn		358929	384669	/disk3/moon/Glot500/data/raw/yap_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
199	aym_Latn	aym	Aymara	Latn		373329	490317	/disk3/moon/Glot500/data/raw/aym_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
200	roh_Latn	roh	Romansh	Latn		377067	407271	/disk3/moon/Glot500/data/raw/roh_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
201	chk_Latn	chk	Chuukese	Latn		380596	420503	/disk3/moon/Glot500/data/raw/chk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
202	bar_Latn	bar	Bavarian	Latn		387070	596937	/disk3/moon/Glot500/data/raw/bar_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
203	gug_Latn	gug	Paraguayan Guaraní	Latn		392227	461710	/disk3/moon/Glot500/data/raw/gug_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
204	luo_Latn	luo	Luo (Kenya and Tanzania)	Latn		398974	455147	/disk3/moon/Glot500/data/raw/luo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
205	arg_Latn	arg	Aragonese	Latn		410683	557702	/disk3/moon/Glot500/data/raw/arg_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
206	sco_Latn	sco	Scots	Latn		411591	610545	/disk3/moon/Glot500/data/raw/sco_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
207	lvs_Latn	lvs	Standard Latvian	Latn		422952	477718	/disk3/moon/Glot500/data/raw/lvs_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
208	umb_Latn	umb	Umbundu	Latn		431589	483902	/disk3/moon/Glot500/data/raw/umb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
209	pon_Latn	pon	Pohnpeian	Latn		434522	476165	/disk3/moon/Glot500/data/raw/pon_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
210	gil_Latn	gil	Gilbertese	Latn		434529	473872	/disk3/moon/Glot500/data/raw/gil_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
211	kik_Latn	kik	Kikuyu	Latn		437228	506261	/disk3/moon/Glot500/data/raw/kik_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
212	mos_Latn	mos	Mossi	Latn		437666	478034	/disk3/moon/Glot500/data/raw/mos_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
213	mon_Latn	mon	Mongolian	Latn		437950	504775	/disk3/moon/Glot500/data/raw/mon_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
214	swc_Latn	swc	Congo Swahili	Latn		446378	528291	/disk3/moon/Glot500/data/raw/swc_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
215	gsw_Latn	gsw	Swiss German	Latn		449240	470573	/disk3/moon/Glot500/data/raw/gsw_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
216	tdt_Latn	tdt	Tetun Dili	Latn		459818	520148	/disk3/moon/Glot500/data/raw/tdt_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
217	kal_Latn	kal	Kalaallisut	Latn		462430	1055439	/disk3/moon/Glot500/data/raw/kal_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
218	iku_Cans	iku	Inuktitut	Cans		465011	740536	/disk3/moon/Glot500/data/raw/iku_Cans	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
219	hin_Latn	hin	Hindi	Latn		466175	903664	/disk3/moon/Glot500/data/raw/hin_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
220	kua_Latn	kua	Kuanyama	Latn		473535	526031	/disk3/moon/Glot500/data/raw/kua_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
221	yue_Hani	yue	Yue Chinese	Hani		484700	621117	/disk3/moon/Glot500/data/raw/yue_Hani	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
222	ndo_Latn	ndo	Ndonga	Latn		496613	557682	/disk3/moon/Glot500/data/raw/ndo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
223	crs_Latn	crs	Seselwa Creole French	Latn		508755	563133	/disk3/moon/Glot500/data/raw/crs_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
224	lus_Latn	lus	Lushai	Latn		509250	541454	/disk3/moon/Glot500/data/raw/lus_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
225	vec_Latn	vec	Venetian	Latn		514240	593012	/disk3/moon/Glot500/data/raw/vec_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
226	tvl_Latn	tvl	Tuvalu	Latn		521556	560646	/disk3/moon/Glot500/data/raw/tvl_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
227	mah_Latn	mah	Marshallese	Latn		534614	580383	/disk3/moon/Glot500/data/raw/mah_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
228	tzo_Latn	tzo	Tzotzil	Latn		540262	596716	/disk3/moon/Glot500/data/raw/tzo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
229	niu_Latn	niu	Niuean	Latn		566715	607100	/disk3/moon/Glot500/data/raw/niu_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
230	lug_Latn	lug	Ganda	Latn		566948	692469	/disk3/moon/Glot500/data/raw/lug_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
231	ekk_Latn	ekk	Standard Estonian	Latn		582595	656828	/disk3/moon/Glot500/data/raw/ekk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
232	tum_Latn	tum	Tumbuka	Latn		589857	699202	/disk3/moon/Glot500/data/raw/tum_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
233	lue_Latn	lue	Luvale	Latn		599429	704700	/disk3/moon/Glot500/data/raw/lue_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
234	min_Latn	min	Minangkabau	Latn		609065	724046	/disk3/moon/Glot500/data/raw/min_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
235	tgk_Latn	tgk	Tajik	Latn		636541	1391510	/disk3/moon/Glot500/data/raw/tgk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
236	tir_Ethi	tir	Tigrinya	Ethi		649117	739309	/disk3/moon/Glot500/data/raw/tir_Ethi	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
237	tuk_Latn	tuk	Turkmen	Latn		649411	750428	/disk3/moon/Glot500/data/raw/tuk_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
238	lim_Latn	lim	Limburgan	Latn		652078	767989	/disk3/moon/Glot500/data/raw/lim_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
239	nan_Latn	nan	Min Nan Chinese	Latn		656389	756487	/disk3/moon/Glot500/data/raw/nan_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
240	hyw_Armn	hyw	Western Armenian	Armn		679819	776669	/disk3/moon/Glot500/data/raw/hyw_Armn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
241	oss_Cyrl	oss	Ossetian	Cyrl		683517	797424	/disk3/moon/Glot500/data/raw/oss_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
242	kon_Latn	kon	Kongo	Latn		685194	754733	/disk3/moon/Glot500/data/raw/kon_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
243	pis_Latn	pis	Pijin	Latn		714783	783521	/disk3/moon/Glot500/data/raw/pis_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
244	che_Cyrl	che	Chechen	Cyrl		728201	916337	/disk3/moon/Glot500/data/raw/che_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
245	toi_Latn	toi	Tonga (Zambia)	Latn		745385	884573	/disk3/moon/Glot500/data/raw/toi_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
246	sag_Latn	sag	Sango	Latn		771048	830135	/disk3/moon/Glot500/data/raw/sag_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
247	que_Latn	que	Quechua	Latn		838486	1194193	/disk3/moon/Glot500/data/raw/que_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
248	lua_Latn	lua	Luba-Lulua	Latn		854359	956197	/disk3/moon/Glot500/data/raw/lua_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
249	chv_Cyrl	chv	Chuvash	Cyrl		859863	1264902	/disk3/moon/Glot500/data/raw/chv_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
250	zsm_Latn	zsm	Standard Malay	Latn		859947	941196	/disk3/moon/Glot500/data/raw/zsm_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
251	ven_Latn	ven	Venda	Latn		860249	947953	/disk3/moon/Glot500/data/raw/ven_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
252	ckb_Arab	ckb	Central Kurdish	Arab		874441	1154989	/disk3/moon/Glot500/data/raw/ckb_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
253	fij_Latn	fij	Fijian	Latn		887134	973259	/disk3/moon/Glot500/data/raw/fij_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
254	pnb_Arab	pnb	Western Panjabi	Arab		899895	1167149	/disk3/moon/Glot500/data/raw/pnb_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
255	aze_Arab	aze	Azerbaijani	Arab		904783	1410594	/disk3/moon/Glot500/data/raw/aze_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
256	run_Latn	run	Rundi	Latn		943828	1094794	/disk3/moon/Glot500/data/raw/run_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
257	nds_Latn	nds	Low German	Latn		944715	1484843	/disk3/moon/Glot500/data/raw/nds_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
258	pag_Latn	pag	Pangasinan	Latn		983637	1103275	/disk3/moon/Glot500/data/raw/pag_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
259	hmo_Latn	hmo	Hiri Motu	Latn		1033636	1116792	/disk3/moon/Glot500/data/raw/hmo_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
260	haw_Latn	haw	Hawaiian	Latn		1062491	1610255	/disk3/moon/Glot500/data/raw/haw_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
261	orm_Latn	orm	Oromo	Latn		1067699	1232585	/disk3/moon/Glot500/data/raw/orm_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
262	bis_Latn	bis	Bislama	Latn		1070170	1142407	/disk3/moon/Glot500/data/raw/bis_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
263	bem_Latn	bem	Bemba (Zambia)	Latn		1111969	1246752	/disk3/moon/Glot500/data/raw/bem_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
264	ewe_Latn	ewe	Ewe	Latn		1161605	1283808	/disk3/moon/Glot500/data/raw/ewe_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
265	srn_Latn	srn	Sranan Tongo	Latn		1172349	1254641	/disk3/moon/Glot500/data/raw/srn_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
266	tah_Latn	tah	Tahitian	Latn		1190747	1272999	/disk3/moon/Glot500/data/raw/tah_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
267	ton_Latn	ton	Tonga (Tonga Islands)	Latn		1216118	1318936	/disk3/moon/Glot500/data/raw/ton_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
268	gaa_Latn	gaa	Ga	Latn		1222307	1329743	/disk3/moon/Glot500/data/raw/gaa_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
269	bcl_Latn	bcl	Central Bikol	Latn		1284493	1447409	/disk3/moon/Glot500/data/raw/bcl_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
270	azj_Latn	azj	North Azerbaijani	Latn		1315834	1413424	/disk3/moon/Glot500/data/raw/azj_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
271	pap_Latn	pap	Papiamento	Latn		1360138	1490975	/disk3/moon/Glot500/data/raw/pap_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
272	wln_Latn	wln	Walloon	Latn		1363869	1446045	/disk3/moon/Glot500/data/raw/wln_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
273	twi_Latn	twi	Twi	Latn		1400979	1542587	/disk3/moon/Glot500/data/raw/twi_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
274	tpi_Latn	tpi	Tok Pisin	Latn		1401844	1486983	/disk3/moon/Glot500/data/raw/tpi_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
275	lin_Latn	lin	Lingala	Latn		1408460	1576063	/disk3/moon/Glot500/data/raw/lin_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
276	oci_Latn	oci	Occitan (post 1500)	Latn		1449128	1987453	/disk3/moon/Glot500/data/raw/oci_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; curated for downstream overlap plus script diversity		PASS
