model_key	model_path	tokenizer_path	phase	role	required	downstream_eligible	model_status	tokenizer_status	ready_for_wrapper	notes
v52_mean_conv5way_step8000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-8000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-8000 total-step-8000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step9000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-9000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-9000 total-step-9000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step10000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-10000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-10000 total-step-10000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step11000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-11000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-11000 total-step-11000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step12000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-12000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-12000 total-step-12000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step13000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-13000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-13000 total-step-13000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step14000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-14000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-14000 total-step-14000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step15000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-15000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-15000 total-step-15000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step16000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-16000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-16000 total-step-16000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step17000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-17000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-17000 total-step-17000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step18000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-18000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-18000 total-step-18000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step19000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-19000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-19000 total-step-19000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step20000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-20000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-20000 total-step-20000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step21000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-21000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-21000 total-step-21000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step22000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-22000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-22000 total-step-22000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step23000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-23000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-23000 total-step-23000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step24000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-24000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-24000 total-step-24000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step25000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-25000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-25000 total-step-25000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step26000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-26000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-26000 total-step-26000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step27000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-27000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-27000 total-step-27000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step28000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-28000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-28000 total-step-28000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step29000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-29000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-29000 total-step-29000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step30000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-30000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-30000 total-step-30000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step31000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-31000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-31000 total-step-31000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step32000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-32000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-32000 total-step-32000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step33000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-33000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-33000 total-step-33000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step34000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-34000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-34000 total-step-34000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step35000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-35000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-35000 total-step-35000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step36000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-36000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-36000 total-step-36000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step37000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-37000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-37000 total-step-37000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step38000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-38000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-38000 total-step-38000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step39000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-39000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-39000 total-step-39000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step40000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-40000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-40000 total-step-40000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step41000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-41000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-41000 total-step-41000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step42000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-42000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-42000 total-step-42000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step43000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-43000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-43000 total-step-43000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step44000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-44000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-44000 total-step-44000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_mean_conv5way_step45000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/mean/checkpoint-45000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 mean checkpoint-45000 total-step-45000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_step500	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_fvt_mlm_8h/checkpoint-500	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 fvt checkpoint-500 total-step-500	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_fvt_step1000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_fvt_mlm_8h/checkpoint-1000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 fvt checkpoint-1000 total-step-1000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_fvt_step1500	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_fvt_mlm_8h/checkpoint-1500	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 fvt checkpoint-1500 total-step-1500	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_fvt_step2000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_fvt_mlm_8h/checkpoint-2000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 fvt checkpoint-2000 total-step-2000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_fvt_step2500	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_fvt_mlm_8h/checkpoint-2500	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 fvt checkpoint-2500 total-step-2500	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_fvt_step3000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_fvt_mlm_8h/checkpoint-3000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 fvt checkpoint-3000 total-step-3000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_fvt_step3500	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_fvt_mlm_8h/checkpoint-3500	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 fvt checkpoint-3500 total-step-3500	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_fvt_step4000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/v52_fvt_mlm_8h/checkpoint-4000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_checkpoint	v5.2 fvt checkpoint-4000 total-step-4000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 8h diagnostic run
v52_fvt_conv5way_step1000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-1000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-1000 total-step-1000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step2000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-2000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-2000 total-step-2000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step3000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-3000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-3000 total-step-3000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step4000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-4000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-4000 total-step-4000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step5000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-5000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-5000 total-step-5000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step6000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-6000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-6000 total-step-6000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step7000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-7000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-7000 total-step-7000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step8000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-8000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-8000 total-step-8000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step9000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-9000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-9000 total-step-9000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step10000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-10000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-10000 total-step-10000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step11000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-11000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-11000 total-step-11000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step12000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-12000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-12000 total-step-12000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step13000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-13000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-13000 total-step-13000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step14000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-14000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-14000 total-step-14000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step15000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-15000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-15000 total-step-15000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step16000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-16000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-16000 total-step-16000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step17000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-17000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-17000 total-step-17000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step18000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-18000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-18000 total-step-18000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step19000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-19000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-19000 total-step-19000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step20000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-20000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-20000 total-step-20000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step21000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-21000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-21000 total-step-21000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step22000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-22000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-22000 total-step-22000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
v52_fvt_conv5way_step23000	/home/axt/mnt2/jongha/v5.2_glot5007/runs/convergence_5way/fvt/checkpoint-23000	/home/axt/mnt2/jongha/v5.2_glot5007/tokenization/output/Glot500_extended_spm	continued_mlm_convergence_5way_checkpoint	v5.2 fvt checkpoint-23000 total-step-23000	yes	yes	ready	ready	yes	checkpoint row; generated as checkpoints appear during the 5-way convergence run with RAM-backed shared cache
